45,,,,,,,,,,,,China,205,42,80134,2914,,,,,,,,,,,,,,,
46,,,,,,,,,,,,China,127,32,80261,2946,,,,,,,,,,,,,,,
47,,,,,,,,,,,,China,119,37,80380,2983,,,,,,,,,,,,,,,
48,,,,,,,,,,,,China,117,31,80497,3014,,,,,,,,,,,,,,,
49,,,,,,,,,,,,China,170,30,80667,3044,,,,,,,,,,,,,,,
50,,,,,,,,,,,,China,101,28,80768,3072,,,,,,,,,,,,,,,
51,,,,,,,,,,,,China,46,27,80814,3099,,,,,,,,,,,,,,,
52,,,,,,,,,,,,China,45,23,80859,3122,,,,,,,,,,,,,,,
53,,,,,,,,,,,,China,20,17,80879,3139,,,,,,,,,,,,,,,
54,,,,,,,,,,,,China,29,22,80908,3161,,,,,,,,,,,,,,,
55,,,,,,,,,,,,China,24,11,80932,3172,,,,,,,,,,,,,,,
56,,,,,,,,,,,,China,22,7,80954,3179,,,,,,,,,,,,,,,
57,,,,,,,,,,,,China,19,15,80973,3194,,,,,,,,,,,,,,,
58,,,,,,,,,,,,China,22,9,80995,3203,,,,,,,,,,,,,,,
59,,,,,,,,,,,,China,25,14,81020,3217,,,,,,,,,,,,,,,
60,,,,,,,,,,,,China,110,9,81130,3226,,,,,,,,,,,,,,,
61,,,,,,,,,,,,China,33,16,81163,3242,,,,,,,,,,,,,,,
62,,,,,,,,,,,,China,75,8,81238,3250,,,,,,,,,,,,,,,
63,,,,,,,,,,,,China,99,4,81337,3254,,,,,,,,,,,,,,,
64,,,,,,,,,,,,China,79,7,81416,3261,,,,,,,,,,,,,,,
65,,,,,,,,,,,,China,41,7,81457,3268,,,,,,,,,,,,,,,
